t_s,gx,gy,gz,ax,ay,az,roll_ref_deg,pitch_ref_deg
0.000000,4.438571,2.304803,2.962516,0.006814,0.000472,0.992409,0.0000,0.0000
0.005000,4.399825,2.372603,2.897249,-0.017187,0.011759,1.000392,1.2722,0.6597
0.010000,4.363430,2.427464,2.858513,-0.028610,0.032809,1.008542,2.5433,1.3190
0.015000,4.327445,2.495496,2.801272,-0.041872,0.078040,0.993173,3.8125,1.9778
0.020000,4.277757,2.541076,2.737734,-0.041432,0.095171,0.995344,5.0785,2.6355
0.025000,4.233342,2.600685,2.671428,-0.052359,0.088642,0.975367,6.3406,3.2920
0.030000,4.171906,2.655485,2.624021,-0.071660,0.135396,0.975880,7.5975,3.9469
0.035000,4.129610,2.700293,2.559097,-0.082521,0.164534,0.986569,8.8484,4.5999
0.040000,4.058868,2.745612,2.495381,-0.089598,0.174106,0.981388,10.0922,5.2507
0.045000,3.992169,2.795731,2.436606,-0.086015,0.201863,0.977678,11.3279,5.8989
0.050000,3.928773,2.835365,2.370388,-0.123281,0.208298,0.948466,12.5546,6.5443
0.055000,3.866616,2.874438,2.298901,-0.134820,0.228202,0.957192,13.7712,7.1865
0.060000,3.789858,2.902460,2.242461,-0.130595,0.260186,0.962438,14.9769,7.8252
0.065000,3.704358,2.928330,2.179258,-0.165598,0.289239,0.962472,16.1705,8.4602
0.070000,3.634881,2.960889,2.110327,-0.145100,0.301154,0.944565,17.3513,9.0911
0.075000,3.545563,2.989095,2.043533,-0.162682,0.310009,0.937814,18.5181,9.7175
0.080000,3.477403,2.997232,1.983129,-0.189402,0.323031,0.929334,19.6702,10.3393
0.085000,3.378426,3.017380,1.917227,-0.171154,0.347455,0.910842,20.8065,10.9561
0.090000,3.295964,3.031781,1.858858,-0.192138,0.365867,0.904737,21.9263,11.5675
0.095000,3.189420,3.056079,1.797466,-0.199052,0.399402,0.888398,23.0284,12.1734
0.100000,3.108358,3.054690,1.741197,-0.224383,0.405965,0.883209,24.1122,12.7734
0.105000,3.006244,3.061594,1.677534,-0.216440,0.390456,0.862478,25.1767,13.3672
0.110000,2.908019,3.066580,1.614249,-0.226826,0.420430,0.882867,26.2211,13.9545
0.115000,2.804690,3.060288,1.568857,-0.237113,0.449892,0.873204,27.2445,14.5351
0.120000,2.700764,3.064116,1.514854,-0.266052,0.462793,0.843396,28.2461,15.1087
0.125000,2.597367,3.068452,1.460206,-0.270280,0.464540,0.854122,29.2252,15.6750
0.130000,2.491266,3.057554,1.411631,-0.290133,0.487293,0.845943,30.1809,16.2336
0.135000,2.380910,3.046174,1.355715,-0.291467,0.483188,0.807151,31.1124,16.7845
0.140000,2.269786,3.037384,1.319140,-0.297219,0.501482,0.821725,32.0191,17.3272
0.145000,2.160703,3.026193,1.268992,-0.297370,0.529618,0.794900,32.9002,17.8615
