t_s,gx,gy,gz,ax,ay,az,roll_ref_deg,pitch_ref_deg
0.000000,0.328266,0.141696,0.109106,0.007020,-0.001276,0.985026,0.0000,0.0000
0.010000,0.330466,0.141580,0.108107,-0.000267,0.005613,1.011629,0.1885,0.0817
0.020000,0.331853,0.143813,0.105028,-0.012998,0.009042,1.013085,0.3770,0.1634
0.030000,0.328492,0.143062,0.110904,-0.018812,0.006744,1.004846,0.5654,0.2450
0.040000,0.332313,0.142712,0.109651,-0.003219,0.020977,0.988765,0.7537,0.3267
0.050000,0.330398,0.136653,0.094190,-0.013195,0.007279,1.008600,0.9419,0.4083
0.060000,0.330436,0.138429,0.111046,-0.018572,0.018856,0.996830,1.1299,0.4899
0.070000,0.327193,0.148905,0.109520,-0.006475,0.029496,1.004471,1.3178,0.5715
0.080000,0.322941,0.141501,0.103496,-0.006403,0.023769,1.022947,1.5054,0.6530
0.090000,0.321383,0.139858,0.109204,0.001400,0.034596,1.007840,1.6928,0.7345
0.100000,0.331964,0.145134,0.097762,-0.019561,0.042332,0.984924,1.8800,0.8159
0.110000,0.324300,0.147112,0.102813,-0.008424,0.041869,1.022441,2.0669,0.8973
0.120000,0.326482,0.143028,0.101096,-0.025395,0.048836,0.993413,2.2534,0.9786
0.130000,0.322229,0.150039,0.099801,-0.021434,0.024145,0.988098,2.4396,1.0599
0.140000,0.318888,0.148577,0.108900,-0.020098,0.048409,1.000432,2.6253,1.1410
0.150000,0.326247,0.151159,0.103814,-0.031439,0.058059,1.002380,2.8107,1.2222
0.160000,0.326003,0.146725,0.111725,-0.026332,0.068177,0.999526,2.9956,1.3032
0.170000,0.316282,0.141402,0.100718,-0.009922,0.063622,1.005058,3.1801,1.3841
0.180000,0.305928,0.150757,0.103767,-0.031065,0.052387,0.997927,3.3641,1.4650
0.190000,0.325326,0.142073,0.098363,-0.013357,0.057392,0.994078,3.5475,1.5457
0.200000,0.316034,0.141276,0.101118,-0.040478,0.073887,0.997511,3.7303,1.6264
0.210000,0.325756,0.149009,0.106364,-0.042819,0.066983,1.000458,3.9126,1.7069
0.220000,0.321811,0.139310,0.104007,-0.025276,0.086699,1.004086,4.0943,1.7873
0.230000,0.312037,0.145204,0.092332,-0.030636,0.072592,1.016890,4.2753,1.8676
0.240000,0.307366,0.149500,0.090249,-0.037944,0.080254,1.004641,4.4556,1.9478
0.250000,0.316257,0.147751,0.092031,-0.030807,0.085932,1.001022,4.6353,2.0279
0.260000,0.304062,0.153700,0.097581,-0.029781,0.096608,1.001891,4.8142,2.1078
0.270000,0.307493,0.158846,0.097887,-0.041131,0.088078,1.010308,4.9923,2.1876
0.280000,0.305103,0.150716,0.102176,-0.044688,0.072769,0.998147,5.1696,2.2672
0.290000,0.304059,0.145104,0.100085,-0.034870,0.083145,0.999997,5.3462,2.3467
0.300000,0.300282,0.140741,0.097528,-0.042781,0.088687,0.999697,5.5219,2.4260
0.310000,0.302008,0.145269,0.096802,-0.033559,0.092041,0.997919,5.6967,2.5052
0.320000,0.297839,0.159475,0.085028,-0.038134,0.099116,0.992742,5.8706,2.5841
0.330000,0.305543,0.148078,0.105087,-0.050882,0.108677,0.988460,6.0436,2.6630
0.340000,0.290744,0.148397,0.092016,-0.045807,0.087096,1.013008,6.2156,2.7416
0.350000,0.291478,0.156751,0.087942,-0.046274,0.142753,0.983893,6.3867,2.8201
0.360000,0.282906,0.145243,0.094893,-0.043631,0.126945,0.989618,6.5567,2.8983
0.370000,0.280395,0.145727,0.098288,-0.047268,0.097390,0.991428,6.7257,2.9764
0.380000,0.293375,0.158450,0.094456,-0.050189,0.107455,0.982928,6.8937,3.0543
0.390000,0.284550,0.150236,0.094113,-0.059418,0.111215,0.983157,7.0606,3.1320
0.400000,0.276417,0.150828,0.079219,-0.059319,0.130090,1.005721,7.2263,3.2094
0.410000,0.280400,0.152496,0.088358,-0.064776,0.121683,1.005334,7.3909,3.2867
0.420000,0.282812,0.149793,0.106581,-0.058998,0.137444,0.992689,7.5543,3.3637
0.430000,0.274484,0.158791,0.097045,-0.074007,0.130033,0.993442,7.7166,3.4405
0.440000,0.277219,0.140310,0.077820,-0.080410,0.136088,0.987665,7.8776,3.5171
0.450000,0.272694,0.143033,0.082568,-0.082907,0.142836,0.991931,8.0374,3.5935
0.460000,0.273555,0.150654,0.087332,-0.050509,0.140902,0.981149,8.1959,3.6696
0.470000,0.263567,0.143582,0.077058,-0.063760,0.147462,0.983656,8.3531,3.7454
0.480000,0.260137,0.148159,0.096077,-0.066258,0.142560,0.980880,8.5090,3.8210
0.490000,0.260852,0.139758,0.086478,-0.067340,0.168731,0.995739,8.6636,3.8964
0.500000,0.263824,0.142287,0.090071,-0.080654,0.156027,0.989998,8.8168,3.9715
0.510000,0.252234,0.155607,0.089181,-0.089590,0.161033,0.981238,8.9686,4.0463
0.520000,0.253444,0.147685,0.087925,-0.092252,0.146492,0.992535,9.1190,4.1209
0.530000,0.257273,0.154606,0.094622,-0.093709,0.168314,0.965139,9.2679,4.1952
0.540000,0.256126,0.146080,0.079541,-0.054343,0.169576,0.964880,9.4154,4.2692
